CASE_ID|CATEGORY|TITLE|TABLES|COLUMNS|DESCRIPTION|SQL_HINT|LEARNED_FROM
BC001|Payroll Tax|Federal Income Tax Wages per Quarter|PHRDEDN,PHRHIST,PTRCALN|PHRDEDN_BDCA_CODE='FED',PHRDEDN_APPLICABLE_GROSS,PHRDEDN_EMPLOYEE_AMT|To get quarterly Federal Income Tax wages, join PHRDEDN to PHRHIST on PIDM+YEAR+PAYNO+PICT_CODE+SEQ_NO, then use PTRCALN to determine which payrolls fall in which quarter by checking EXTRACT(MONTH FROM PTRCALN_END_DATE). Filter PHRHIST_DISP >= '60' for posted transactions only. PHRDEDN_APPLICABLE_GROSS is the wage amount, PHRDEDN_EMPLOYEE_AMT is the tax withheld.|JOIN PTRCALN ON YEAR+PICT_CODE+PAYNO, EXTRACT(MONTH FROM PTRCALN_END_DATE) BETWEEN start AND end|ADP SmartCompliance Integration 2026
BC002|Payroll Tax|Medicare Employee Wages (FIM)|PHRDEDN,PHRHIST,PTRCALN|PHRDEDN_BDCA_CODE='FIM',PHRDEDN_EMPLOYEE_AMT,PHRDEDN_EMPLOYER_AMT,PHRDEDN_APPLICABLE_GROSS|Medicare uses BDCA_CODE 'FIM'. Unlike Federal, Medicare has BOTH employee AND employer amounts in the same deduction code. PHRDEDN_EMPLOYEE_AMT is the EE portion (1.45%), PHRDEDN_EMPLOYER_AMT is the ER portion (1.45%). APPLICABLE_GROSS is the same for both. Medicare wages are typically HIGHER than Federal wages because pre-tax deductions (403b, 457b, HSA) reduce Federal but NOT Medicare.|SUM(PHRDEDN_EMPLOYEE_AMT) for EE, SUM(PHRDEDN_EMPLOYER_AMT) for ER, SUM(PHRDEDN_APPLICABLE_GROSS) for wages|ADP SmartCompliance Integration 2026
BC003|Payroll Tax|Social Security Wages (FIO)|PHRDEDN,PHRHIST,PTRCALN|PHRDEDN_BDCA_CODE='FIO',PHRDEDN_EMPLOYEE_AMT,PHRDEDN_EMPLOYER_AMT|Social Security uses BDCA_CODE 'FIO'. Most WCC employees are SURS participants (exempt from Social Security) so only ~100 of 1200 employees have FIO records. Like Medicare, FIO has both employee and employer amounts. Annual wage cap applies ($168,600 for 2025). SURS codes: S1R, S2G, S2R — employees with these deductions do NOT have FIO.|Only ~8% of employees have FIO due to SURS exemption|ADP SmartCompliance Integration 2026
BC004|Payroll Tax|Additional Medicare Tax (FIA) over $200K|PHRDEDN,PHRHIST|PHRDEDN_BDCA_CODE='FIA',PHRDEDN_APPLICABLE_GROSS|Additional Medicare (0.9%) applies to wages over $200,000. CRITICAL: Banner FIA tracks ALL applicable wages from dollar 1 (same base as FIM), not just the excess. For IRS Form 941 reporting, you must cap at wages EXCEEDING $200,000 per employee. Only employer-side, no employee match.|Must apply $200K cap per employee before summing — Banner stores full amount|ADP SmartCompliance Integration 2026
BC005|Payroll Tax|State Income Tax (Illinois, Michigan, New York)|PHRDEDN,PHRHIST|PHRDEDN_BDCA_CODE IN ('ILL','MCH','NYT')|Illinois='ILL', Michigan='MCH', New York='NYT'. These are employee-only taxes (no employer amount). Applicable gross varies by state. For multi-state employers, an employee's state is determined by their work location, NOT necessarily their home address.|State assignment via PWVEMPL_MAIL_STATE view (HR address type)|ADP SmartCompliance Integration 2026
BC006|Payroll Tax|SURS Retirement Exemption from Social Security|PHRDEDN,PTRBDCA|PHRDEDN_BDCA_CODE IN ('S1R','S2G','S2R')|SURS (State Universities Retirement System) employees are exempt from Social Security. Three active codes: S1R (Tier 1), S2G (Tier 2, eff 01/2011), S2R (Tier 2 new, eff 06/2014). S1G exists but is 'DO NOT USE - AWAITING RULING'. If an employee has any SURS deduction, W-2 Box 13 Retirement Plan = 'Y'. Source: PXAREPT Tax Reporting Rules form, Box Code 13R.|Check PHRDEDN for SURS codes to determine Box 13 retirement plan indicator|Michele Kellen (Payroll) + PXAREPT form, Mar 2026
BC007|Payroll|Payroll Calendar and Check Dates|PTRCALN|PTRCALN_YEAR,PTRCALN_PICT_CODE,PTRCALN_PAYNO,PTRCALN_START_DATE,PTRCALN_END_DATE,PTRCALN_CHECK_DATE|PTRCALN maps each payroll number to its date range. WCC uses PICT_CODE 'SP' (Staff/Professional) and 'SF' (Faculty). Semi-monthly: 24 pay periods per year. The END_DATE determines which quarter a payroll belongs to. CHECK_DATE is the actual pay date (liability date for tax reporting).|Filter: PTRCALN_PICT_CODE IN ('SP','SF'). Use END_DATE for quarterly assignment, CHECK_DATE for periodic files.|ADP SmartCompliance Integration 2026
BC008|Payroll|Posted vs Unposted Payroll Transactions|PHRHIST|PHRHIST_DISP|PHRHIST_DISP (disposition) indicates the status of a payroll transaction. Values >= '60' are posted/completed. Values < '60' are in-progress or voided. ALWAYS filter PHRHIST_DISP >= '60' when pulling payroll data for reporting. Failing to do so will include incomplete transactions.|WHERE PHRHIST_DISP >= '60' is mandatory for all payroll reports|ADP SmartCompliance Integration 2026
BC009|Payroll|Payroll Adjustment Pattern (Original-Reversal-Correction)|PHRHIST,PHRDEDN|PHRHIST_SEQ_NO,PHRHIST_ADJS_DATE,PHRHIST_ADJS_SEQ_NO,PHRHIST_ADJ_BY_DATE,PHRHIST_ADJ_BY_SEQ_NO|When Banner processes a payroll adjustment, it creates multiple sequence records: SEQ_NO=0 (original), SEQ_NO=1 (reversal, negative amounts), SEQ_NO=2 (correction, new amounts). The original gets ADJ_BY_SEQ_NO pointing to the reversal. The reversal and correction get ADJS_DATE populated. Some employees have multiple adjustment rounds (seq 3, 4). When summing wages, include ALL sequences — they net correctly. Do NOT filter out negative amounts.|SUM() across all SEQ_NO values nets correctly. Never exclude negatives.|Investigation of X00412664 reversal, Mar 2026
BC010|Payroll|Payroll Codes (PICT_CODE)|PHRHIST,PHRDEDN,PTRCALN|PHRHIST_PICT_CODE,PHRDEDN_PICT_CODE|WCC payroll codes confirmed: 'SP' and 'SF' only. ALL payroll queries must filter on these codes. No other PICT_CODEs exist in 2025 data. PICT_CODE is on PHRHIST, PHRDEDN, and PTRCALN — use it as a join condition.|WHERE PICT_CODE IN ('SP', 'SF') on all payroll tables|Michele Kellen confirmed verbally, Feb 25 2026
